,,,,MB-clonallines-nla-karyo-plate2c1_78,MB-clonallines-nla-karyo-plate2c1_80,MB-clonallines-nla-karyo-plate2c1_82,MB-clonallines-nla-karyo-plate2c1_76,MB-clonallines-nla-karyo-plate2c1_86,MB-clonallines-nla-karyo-plate2c1_74,MB-clonallines-nla-karyo-plate2c1_84,MB-clonallines-nla-karyo-plate2c1_72,MB-clonallines-nla-karyo-plate2c1_170,MB-clonallines-nla-karyo-plate2c1_50,MB-clonallines-nla-karyo-plate2c1_132,MB-clonallines-nla-karyo-plate2c1_103,MB-clonallines-nla-karyo-plate2c1_48,MB-clonallines-nla-karyo-plate2c1_54,MB-clonallines-nla-karyo-plate2c1_108,MB-clonallines-nla-karyo-plate2c1_52,MB-clonallines-nla-karyo-plate2c1_109,MB-clonallines-nla-karyo-plate2c1_120,MB-clonallines-nla-karyo-plate2c1_56,MB-clonallines-nla-karyo-plate2c1_158,MB-clonallines-nla-karyo-plate2c1_102,MB-clonallines-nla-karyo-plate2c1_38,MB-clonallines-nla-karyo-plate2c1_106,MB-clonallines-nla-karyo-plate2c1_111,MB-clonallines-nla-karyo-plate2c1_58,MB-clonallines-nla-karyo-plate2c1_30,MB-clonallines-nla-karyo-plate2c1_13,MB-clonallines-nla-karyo-plate2c1_130,MB-clonallines-nla-karyo-plate2c1_9,MB-clonallines-nla-karyo-plate2c1_39,MB-clonallines-nla-karyo-plate2c1_229,MB-clonallines-nla-karyo-plate2c1_35,MB-clonallines-nla-karyo-plate2c1_26,MB-clonallines-nla-karyo-plate2c1_34,MB-clonallines-nla-karyo-plate2c1_24,MB-clonallines-nla-karyo-plate2c1_25,MB-clonallines-nla-karyo-plate2c1_2,MB-clonallines-nla-karyo-plate2c1_127,MB-clonallines-nla-karyo-plate2c1_32,MB-clonallines-nla-karyo-plate2c1_36,MB-clonallines-nla-karyo-plate2c1_100,MB-clonallines-nla-karyo-plate2c1_27,MB-clonallines-nla-karyo-plate2c1_105,MB-clonallines-nla-karyo-plate2c1_28,MB-clonallines-nla-karyo-plate2c1_134,MB-clonallines-nla-karyo-plate2c1_83,MB-clonallines-nla-karyo-plate2c1_128,MB-clonallines-nla-karyo-plate2c1_77,MB-clonallines-nla-karyo-plate2c1_154,MB-clonallines-nla-karyo-plate2c1_125,MB-clonallines-nla-karyo-plate2c1_75,MB-clonallines-nla-karyo-plate2c1_16,MB-clonallines-nla-karyo-plate2c1_110,MB-clonallines-nla-karyo-plate2c1_99,MB-clonallines-nla-karyo-plate2c1_131,MB-clonallines-nla-karyo-plate2c1_122,MB-clonallines-nla-karyo-plate2c1_29,MB-clonallines-nla-karyo-plate2c1_152,MB-clonallines-nla-karyo-plate2c1_129,MB-clonallines-nla-karyo-plate2c1_101,MB-clonallines-nla-karyo-plate2c1_155,MB-clonallines-nla-karyo-plate2c1_33,MB-clonallines-nla-karyo-plate2c1_17,MB-clonallines-nla-karyo-plate2c1_168,MB-clonallines-nla-karyo-plate2c1_96,MB-clonallines-nla-karyo-plate2c1_98,MB-clonallines-nla-karyo-plate2c1_19,MB-clonallines-nla-karyo-plate2c1_6,MB-clonallines-nla-karyo-plate2c1_79,MB-clonallines-nla-karyo-plate2c1_124,MB-clonallines-nla-karyo-plate2c1_126,MB-clonallines-nla-karyo-plate2c1_148,MB-clonallines-nla-karyo-plate2c1_144,MB-clonallines-nla-karyo-plate2c1_146,MB-clonallines-nla-karyo-plate2c1_107,MB-clonallines-nla-karyo-plate2c1_73,MB-clonallines-nla-karyo-plate2c1_3,MB-clonallines-nla-karyo-plate2c1_53,MB-clonallines-nla-karyo-plate2c1_14,MB-clonallines-nla-karyo-plate2c1_366,MB-clonallines-nla-karyo-plate2c1_10,MB-clonallines-nla-karyo-plate2c1_87,MB-clonallines-nla-karyo-plate2c1_145,MB-clonallines-nla-karyo-plate2c1_157,MB-clonallines-nla-karyo-plate2c1_104,MB-clonallines-nla-karyo-plate2c1_12,MB-clonallines-nla-karyo-plate2c1_97,MB-clonallines-nla-karyo-plate2c1_20,MB-clonallines-nla-karyo-plate2c1_21,MB-clonallines-nla-karyo-plate2c1_7,MB-clonallines-nla-karyo-plate2c1_11,MB-clonallines-nla-karyo-plate2c1_121,MB-clonallines-nla-karyo-plate2c1_133,MB-clonallines-nla-karyo-plate2c1_135,MB-clonallines-nla-karyo-plate2c1_31,MB-clonallines-nla-karyo-plate2c1_159,MB-clonallines-nla-karyo-plate2c1_15,MB-clonallines-nla-karyo-plate2c1_172,MB-clonallines-nla-karyo-plate2c1_156,MB-clonallines-nla-karyo-plate2c1_1,MB-clonallines-nla-karyo-plate2c1_5,MB-clonallines-nla-karyo-plate2c1_85,MB-clonallines-nla-karyo-plate2c1_8,MB-clonallines-nla-karyo-plate2c1_150,MB-clonallines-nla-karyo-plate2c1_37,MB-clonallines-nla-karyo-plate2c1_55,MB-clonallines-nla-karyo-plate2c1_18,MB-clonallines-nla-karyo-plate2c1_153,MB-clonallines-nla-karyo-plate2c1_81,MB-clonallines-nla-karyo-plate2c1_123,MB-clonallines-nla-karyo-plate2c1_0,MB-clonallines-nla-karyo-plate2c1_147,MB-clonallines-nla-karyo-plate2c1_51,MB-clonallines-nla-karyo-plate2c1_149,MB-clonallines-nla-karyo-plate2c1_61,MB-clonallines-nla-karyo-plate2c1_151,MB-clonallines-nla-karyo-plate2c1_59,MB-clonallines-nla-karyo-plate2c1_4,MB-clonallines-nla-karyo-plate2c1_69
129P2_OlaHsd,1,10250000,10500000,24.0,4.0,6.0,12.0,,10.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,10250000,10500000,52.0,27.0,25.0,52.0,18.0,31.0,20.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,10500000,10750000,66.0,26.0,12.0,54.0,12.0,31.0,12.0,10.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,10500000,10750000,16.0,14.0,2.0,30.0,10.0,12.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,10750000,11000000,8.0,10.0,6.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,10750000,11000000,75.0,22.0,27.0,57.0,21.0,20.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,11000000,11250000,54.0,23.0,11.0,55.0,16.0,35.0,17.0,6.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,11000000,11250000,22.0,12.0,4.0,32.0,6.0,24.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,11250000,11500000,82.0,32.0,33.0,110.0,26.0,26.0,21.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,11500000,11750000,47.0,27.0,15.0,20.0,16.0,24.0,8.0,9.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,11500000,11750000,42.0,10.0,8.0,44.0,6.0,18.0,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,11750000,12000000,43.0,18.0,18.0,54.0,15.0,13.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,11750000,12000000,24.0,14.0,,22.0,10.0,24.0,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,12000000,12250000,51.0,30.0,30.0,71.0,29.0,47.0,19.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,12500000,12750000,79.0,43.0,31.0,85.0,28.0,34.0,22.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,12500000,12750000,10.0,2.0,2.0,20.0,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,1,12500000,12750000,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,12750000,13000000,42.0,31.0,25.0,42.0,20.0,42.0,24.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,12750000,13000000,48.0,26.0,14.0,26.0,10.0,20.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,1,12750000,13000000,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,13000000,13250000,38.0,29.0,18.0,78.0,11.0,30.0,10.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,13000000,13250000,30.0,28.0,10.0,40.0,14.0,22.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,180000000,180250000,16.0,6.0,2.0,6.0,2.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,13250000,13500000,36.0,18.0,10.0,32.0,10.0,26.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,13250000,13500000,76.0,16.0,10.0,62.0,22.0,33.0,16.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,13500000,13750000,12.0,6.0,8.0,26.0,6.0,10.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,13500000,13750000,48.0,22.0,29.0,53.0,17.0,30.0,13.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,13750000,14000000,29.0,16.0,17.0,27.0,12.0,12.0,18.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,13750000,14000000,14.0,16.0,10.0,36.0,12.0,20.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,1,13750000,14000000,2.0,,,10.0,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,14000000,14250000,37.0,23.0,20.0,42.0,13.0,29.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,1,14000000,14250000,4.0,2.0,6.0,14.0,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,14000000,14250000,16.0,8.0,6.0,6.0,8.0,14.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,14250000,14500000,40.0,13.0,20.0,24.0,14.0,22.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,14250000,14500000,10.0,14.0,,24.0,2.0,6.0,12.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,1,14250000,14500000,4.0,6.0,4.0,12.0,6.0,6.0,6.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,14500000,14750000,63.0,19.0,14.0,68.0,21.0,36.0,25.0,12.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,1,14500000,14750000,4.0,10.0,,8.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,14500000,14750000,12.0,10.0,8.0,8.0,6.0,8.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,14750000,15000000,46.0,33.0,17.0,57.0,19.0,25.0,27.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,14750000,15000000,20.0,6.0,4.0,18.0,2.0,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,1,14750000,15000000,8.0,6.0,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,15000000,15250000,71.0,24.0,14.0,66.0,10.0,26.0,21.0,8.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,15000000,15250000,2.0,4.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,1,15000000,15250000,2.0,,,4.0,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,15250000,15500000,73.0,23.0,12.0,62.0,23.0,31.0,11.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,15500000,15750000,62.0,25.0,18.0,57.0,12.0,34.0,11.0,10.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,15500000,15750000,24.0,16.0,4.0,20.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,1,15500000,15750000,8.0,,4.0,14.0,,6.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,15750000,16000000,31.0,18.0,10.0,47.0,28.0,12.0,11.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,1,15750000,16000000,8.0,6.0,4.0,13.0,2.0,8.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,15750000,16000000,14.0,20.0,8.0,22.0,8.0,12.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,16000000,16250000,52.0,27.0,16.0,65.0,17.0,41.0,20.0,10.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,1,16000000,16250000,6.0,4.0,,6.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,16000000,16250000,12.0,2.0,2.0,12.0,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,16250000,16500000,57.0,42.0,20.0,66.0,17.0,43.0,14.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,16250000,16500000,6.0,,,6.0,,10.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,1,16250000,16500000,6.0,,2.0,6.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,16500000,16750000,77.0,42.0,37.0,74.0,24.0,49.0,20.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,16750000,17000000,51.0,33.0,21.0,49.0,18.0,48.0,30.0,16.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,17000000,17250000,48.0,41.0,24.0,86.0,24.0,55.0,14.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,1,17250000,17500000,16.0,10.0,4.0,10.0,2.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,17250000,17500000,30.0,18.0,8.0,41.0,10.0,9.0,11.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,17250000,17500000,12.0,12.0,,18.0,4.0,8.0,12.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,17500000,17750000,14.0,4.0,4.0,12.0,8.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,1,17500000,17750000,8.0,4.0,,6.0,4.0,4.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,17500000,17750000,33.0,20.0,10.0,40.0,12.0,20.0,20.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,17750000,18000000,16.0,2.0,6.0,22.0,2.0,4.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,17750000,18000000,43.0,19.0,18.0,31.0,12.0,10.0,15.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL_6NJ,1,17750000,18000000,10.0,4.0,4.0,5.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,18000000,18250000,36.0,13.0,13.0,32.0,8.0,28.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
